Date,Adj_Close,Open,High,Low,Vol.,Change %
03/05/2021,2246.2,"2,244.40","2,277.40","2,236.60",,-0.54%
03/04/2021,2258.4,"2,245.70","2,268.20","2,229.10",,0.19%
03/03/2021,2254.2,"2,271.10","2,283.80","2,231.50",,-0.16%
03/02/2021,2257.9,"2,263.00","2,281.40","2,255.90",,-0.71%
03/01/2021,2274.1,"2,259.10","2,275.50","2,255.90",,1.82%
02/26/2021,2233.4,"2,223.90","2,251.10","2,217.30",,-0.98%
02/25/2021,2255.4,"2,276.20","2,279.70","2,254.00",,-0.15%
02/24/2021,2258.9,"2,241.30","2,262.10","2,235.40",,0.78%
02/23/2021,2241.5,"2,255.40","2,265.70","2,211.70",,-0.34%
02/22/2021,2249.1,"2,244.70","2,253.00","2,232.90",,-0.54%
02/19/2021,2261.3,"2,246.70","2,267.20","2,233.40",,0.88%
02/18/2021,2241.5,"2,267.70","2,275.50","2,236.40",,-1.03%
02/17/2021,2264.8,"2,285.10","2,293.10","2,259.80",,-1.20%
02/16/2021,2292.4,"2,306.80","2,310.50","2,289.70",,-0.66%
02/15/2021,2307.6,"2,308.30","2,312.70","2,303.90",,0.80%
02/12/2021,2289.2,"2,273.80","2,289.40","2,254.50",,0.45%
02/11/2021,2278.9,"2,277.40","2,284.80","2,273.10",,0.21%
02/10/2021,2274.1,"2,286.00","2,288.70","2,261.30",,-0.21%
02/09/2021,2278.9,"2,289.70","2,292.60","2,273.30",,-0.56%
02/08/2021,2291.7,"2,276.00","2,299.00","2,271.10",,1.52%
02/05/2021,2257.4,"2,243.70","2,276.00","2,242.50",,0.83%
02/04/2021,2238.8,"2,202.60","2,245.20","2,197.80",,1.66%
02/03/2021,2202.2,"2,223.20","2,224.90","2,195.30",,2.16%
02/02/2021,2155.7,"2,145.90","2,164.20","2,145.20",,1.20%
02/01/2021,2130.2,"2,123.90","2,138.10","2,111.70",,1.16%
01/29/2021,2105.8,"2,110.90","2,128.30","2,102.40",,-1.57%
01/28/2021,2139.3,"2,098.40","2,143.90","2,081.80",,1.07%
01/27/2021,2116.6,"2,139.80","2,147.80","2,092.60",,-1.49%
01/26/2021,2148.6,"2,121.40","2,154.20","2,115.60",,1.19%
01/25/2021,2123.4,"2,170.60","2,173.10","2,116.10",,-1.58%
01/22/2021,2157.4,"2,170.10","2,173.10","2,140.50",,-1.45%
01/21/2021,2189.2,"2,227.10","2,229.50","2,188.90",,-1.02%
01/20/2021,2211.7,"2,203.10","2,212.90","2,196.80",,0.93%
01/19/2021,2191.4,"2,211.40","2,211.70","2,189.70",,-0.26%
01/18/2021,2197.2,"2,176.50","2,198.70","2,173.50",,0.80%
01/15/2021,2179.7,"2,203.80","2,215.30","2,164.70",,-1.24%
01/14/2021,2207.0,"2,212.70","2,228.10","2,205.80",,-0.37%
01/13/2021,2215.1,"2,204.30","2,221.70","2,198.00",,0.50%
01/12/2021,2204.1,"2,217.80","2,221.40","2,196.30",,-0.37%
01/11/2021,2212.2,"2,213.20","2,220.50","2,190.90",,-0.23%
01/08/2021,2217.3,"2,238.10","2,240.80","2,209.50",,0.07%
01/07/2021,2215.8,"2,223.70","2,223.70","2,203.10",,0.09%
01/06/2021,2213.9,"2,166.90","2,219.80","2,162.50",,2.47%
01/05/2021,2160.6,"2,165.90","2,176.20","2,151.30",,-0.58%
01/04/2021,2173.1,"2,180.90","2,190.20","2,163.20",,0.37%
12/30/2020,2165.0,"2,169.40","2,175.20","2,161.60",,-0.09%
12/29/2020,2166.9,"2,178.20","2,179.40","2,160.60",,-0.12%
12/28/2020,2169.6,"2,171.10","2,175.50","2,165.40",,0.74%
12/23/2020,2153.7,"2,136.80","2,156.70","2,132.20",,1.36%
12/22/2020,2124.9,"2,091.80","2,126.30","2,091.80",,2.02%
12/21/2020,2082.8,"2,086.00","2,104.80","2,049.60",,-2.60%
12/18/2020,2138.3,"2,133.20","2,155.70","2,132.70",,-0.21%
12/17/2020,2142.7,"2,150.10","2,155.70","2,142.50",,0.18%
12/16/2020,2138.8,"2,142.20","2,159.80","2,131.00",,0.14%
12/15/2020,2135.9,"2,113.40","2,139.10","2,113.20",,0.81%
12/14/2020,2118.8,"2,128.80","2,142.50","2,118.00",,-0.12%
12/11/2020,2121.4,"2,139.30","2,142.00","2,109.70",,-1.06%
12/10/2020,2144.2,"2,154.90","2,160.60","2,126.80",,-0.19%
12/09/2020,2148.3,"2,175.00","2,176.70","2,147.10",,-0.38%
12/08/2020,2156.4,"2,156.70","2,162.00","2,141.80",,-0.28%
12/07/2020,2162.5,"2,166.70","2,166.70","2,148.10",,-0.32%
12/04/2020,2169.4,"2,155.90","2,171.10","2,154.90",,0.79%
12/03/2020,2152.5,"2,154.70","2,155.70","2,141.50",,0.20%
12/02/2020,2148.3,"2,150.30","2,154.90","2,130.00",,-0.62%
12/01/2020,2161.8,"2,163.50","2,170.30","2,152.80",,0.21%
11/30/2020,2157.2,"2,173.80","2,186.50","2,154.90",,-1.33%
11/27/2020,2186.2,"2,169.60","2,189.40","2,168.70",,0.66%
11/26/2020,2171.8,"2,186.00","2,188.90","2,171.80",,-0.40%
11/25/2020,2180.6,"2,180.10","2,185.30","2,157.20",,0.74%
11/24/2020,2164.5,"2,156.40","2,165.90","2,146.90",,1.97%
11/23/2020,2122.7,"2,138.10","2,151.00","2,122.20",,0.08%
11/20/2020,2120.9,"2,102.10","2,127.30","2,101.40",,0.76%
11/19/2020,2104.8,"2,102.80","2,118.50","2,093.60",,-0.37%
11/18/2020,2112.7,"2,091.60","2,116.60","2,087.90",,0.82%
11/17/2020,2095.5,"2,084.00","2,100.40","2,076.20",,0.59%
11/16/2020,2083.3,"2,064.20","2,095.00","2,053.00",,1.97%
11/13/2020,2043.0,"2,028.00","2,049.10","2,024.30",,0.40%
11/12/2020,2034.9,"2,033.20","2,048.10","2,023.60",,-0.74%
11/11/2020,2050.0,"2,048.80","2,056.40","2,033.40",,0.62%
11/10/2020,2037.3,"2,029.70","2,044.70","2,011.20",,0.58%
11/09/2020,2025.6,"1,953.50","2,047.80","1,948.00",,5.38%
11/06/2020,1922.1,"1,921.90","1,935.60","1,901.80",,-0.22%
11/05/2020,1926.3,"1,903.80","1,932.20","1,902.30",,1.98%
11/04/2020,1888.9,"1,821.40","1,893.30","1,812.60",,2.02%
11/03/2020,1851.5,"1,807.70","1,852.50","1,805.50",,3.19%
11/02/2020,1794.2,"1,751.50","1,795.70","1,736.50",,2.54%
10/30/2020,1749.7,"1,725.00","1,754.10","1,722.60",,0.42%
10/29/2020,1742.4,"1,755.80","1,762.90","1,719.40",,-0.25%
10/28/2020,1746.8,"1,786.40","1,788.80","1,739.50",,-3.98%
10/27/2020,1819.2,"1,849.00","1,852.70","1,817.70",,-1.48%
10/26/2020,1846.6,"1,851.00","1,873.00","1,844.60",,-1.84%
10/23/2020,1881.3,"1,862.20","1,889.10","1,860.30",,1.21%
10/22/2020,1858.8,"1,845.60","1,869.50","1,837.50",,-0.08%
10/21/2020,1860.3,"1,901.30","1,901.30","1,859.30",,-2.08%
10/20/2020,1899.9,"1,884.70","1,908.70","1,876.90",,0.53%
10/19/2020,1889.8,"1,904.80","1,910.40","1,883.00",,-0.02%
10/16/2020,1890.1,"1,872.00","1,897.90","1,856.30",,1.60%
10/15/2020,1860.3,"1,888.90","1,888.90","1,848.00",,-2.71%
10/14/2020,1912.1,"1,909.40","1,925.30","1,902.80",,0.19%
10/13/2020,1908.5,"1,923.80","1,924.10","1,900.40",,-0.72%
10/12/2020,1922.4,"1,915.50","1,927.80","1,907.70",,0.58%
10/09/2020,1911.4,"1,910.40","1,919.90","1,898.90",,0.06%
10/08/2020,1910.2,"1,904.50","1,914.50","1,897.70",,0.78%
10/07/2020,1895.5,"1,886.90","1,898.90","1,886.20",,0.07%
10/06/2020,1894.2,"1,886.00","1,903.80","1,871.30",,0.88%
10/05/2020,1877.6,"1,876.70","1,879.30","1,861.20",,1.03%
10/02/2020,1858.5,"1,835.60","1,859.30","1,834.60",,-0.03%
10/01/2020,1859.0,"1,870.00","1,879.30","1,849.00",,0.26%
09/30/2020,1854.2,"1,842.20","1,867.30","1,842.20",,-0.34%
